deployment_mode,scenario,metric,statistic,value,run_count
cloud_only,fault_alternate,detector_cpu_max,std,19.131803051463812,5
cloud_only,fault_alternate,detector_cpu_max,p95,44.50619999999999,5
cloud_only,fault_alternate,detector_cpu_max,min,4.227,5
cloud_only,fault_alternate,detector_cpu_max,max,51.911,5
cloud_only,fault_alternate,detector_cpu_mean,count,5,5
cloud_only,fault_alternate,detector_cpu_mean,mean,1.6802031887446587,5
cloud_only,fault_alternate,detector_cpu_mean,median,1.60756050955414,5
cloud_only,fault_alternate,detector_cpu_mean,std,0.22956542241602018,5
cloud_only,fault_alternate,detector_cpu_mean,p95,1.9867777956945902,5
cloud_only,fault_alternate,detector_cpu_mean,min,1.45675,5
cloud_only,fault_alternate,detector_cpu_mean,max,2.050607594936709,5
cloud_only,fault_alternate,detector_cpu_median,count,5,5
cloud_only,fault_alternate,detector_cpu_median,mean,1.3103,5
cloud_only,fault_alternate,detector_cpu_median,median,1.313,5
cloud_only,fault_alternate,detector_cpu_median,std,0.00685200700525036,5
cloud_only,fault_alternate,detector_cpu_median,p95,1.3164000000000002,5
cloud_only,fault_alternate,detector_cpu_median,min,1.2995,5
cloud_only,fault_alternate,detector_cpu_median,max,1.3170000000000002,5
cloud_only,fault_alternate,detector_cpu_min,count,5,5
cloud_only,fault_alternate,detector_cpu_min,mean,0.1754,5
cloud_only,fault_alternate,detector_cpu_min,median,0.109,5
cloud_only,fault_alternate,detector_cpu_min,std,0.1627983415148938,5
cloud_only,fault_alternate,detector_cpu_min,p95,0.3508,5
cloud_only,fault_alternate,detector_cpu_min,min,0.031,5
cloud_only,fault_alternate,detector_cpu_min,max,0.351,5
cloud_only,fault_alternate,detector_cpu_p95,count,5,5
cloud_only,fault_alternate,detector_cpu_p95,mean,3.56694,5
cloud_only,fault_alternate,detector_cpu_p95,median,3.7805999999999997,5
cloud_only,fault_alternate,detector_cpu_p95,std,0.9748572660907852,5
cloud_only,fault_alternate,detector_cpu_p95,p95,4.39724,5
cloud_only,fault_alternate,detector_cpu_p95,min,2.03485,5
cloud_only,fault_alternate,detector_cpu_p95,max,4.4103,5
cloud_only,fault_alternate,detector_cpu_std,count,5,5
cloud_only,fault_alternate,detector_cpu_std,mean,1.8953178551307355,5
cloud_only,fault_alternate,detector_cpu_std,median,1.4936167629712513,5
cloud_only,fault_alternate,detector_cpu_std,std,1.5260586282301305,5
cloud_only,fault_alternate,detector_cpu_std,p95,3.948137874296007,5
cloud_only,fault_alternate,detector_cpu_std,min,0.5837294341778402,5
cloud_only,fault_alternate,detector_cpu_std,max,4.529585211582462,5
cloud_only,fault_alternate,detector_memory_count,count,5,5
cloud_only,fault_alternate,detector_memory_count,mean,134.8,5
cloud_only,fault_alternate,detector_memory_count,median,157.0,5
cloud_only,fault_alternate,detector_memory_count,std,50.76120565944036,5
cloud_only,fault_alternate,detector_memory_count,p95,158.0,5
cloud_only,fault_alternate,detector_memory_count,min,44.0,5
cloud_only,fault_alternate,detector_memory_count,max,158.0,5
cloud_only,fault_alternate,detector_memory_max,count,5,5
cloud_only,fault_alternate,detector_memory_max,mean,221365043.2,5
cloud_only,fault_alternate,detector_memory_max,median,220946432.0,5
